Date,Fintech,NASDAQ,SNP500,EMCLOUD
12/20/2021,0.0,0.0,0.0,0.0
12/21/2021,0.07599239791536405,0.024040045143286504,0.017777934551572505,0.04350128822973742
12/22/2021,0.0658985061352606,0.03610908832294557,0.028139114652061092,0.042940811584941896
12/23/2021,0.10499801008014309,0.044885667580175204,0.03453794397937848,0.04524209104142485
12/24/2021,0.10607107181181719,0.044885667580175204,0.03453794397937848,0.04524209104142485
12/27/2021,0.06985313578308827,0.05942999071672239,0.04885484759716552,0.04756219402185624
12/28/2021,0.05452919570266501,0.05345293144865604,0.047795341787360224,0.04756219402185624
12/29/2021,0.07419041775830837,0.05241828372202262,0.049264240984126184,0.02414871545826358
12/30/2021,0.07289738674807467,0.05077250806965905,0.04612719734952497,0.03770123808619141
12/31/2021,0.054380382251701276,0.04432473362807854,0.04337987911671504,0.02055495645982086
01/03/2022,0.04207172067342935,0.05686253637188976,0.05003043727596257,0.009830108574832241
01/04/2022,-0.07298353639579391,0.04283938313040525,0.04936931505707198,-0.03215244467200362
01/05/2022,-0.09887424060133665,0.007958743421900394,0.029019150097190805,-0.08842557682388019
01/06/2022,-0.11094277615170067,0.0066698664781632555,0.028027413323242767,-0.08226178488385627
01/07/2022,-0.13573409580950035,-0.003006684207613519,0.023863679484527722,-0.08897502470794827
01/10/2022,-0.13946966931460192,-0.002544312967378448,0.022388259923113107,-0.0789709021903574
01/11/2022,-0.12174455772667503,0.01151488867335182,0.03175332070947978,-0.055909763508957044
01/12/2022,-0.11166396625330133,0.013847474333767984,0.03466054821301934,-0.0664409446971086
01/13/2022,-0.19579306200959,-0.011623555366918947,0.019923241412225456,-0.11702095593068917
01/14/2022,-0.16108000109462806,-0.005820154210228079,0.020759558346841622,-0.12024110529410792
01/17/2022,-0.16184272311172943,-0.005820154210228079,0.020759558346841622,-0.12024110529410792
01/18/2022,-0.1943158336529479,-0.031643389157071766,0.0019898870213208575,-0.1453541324704255
01/19/2022,-0.21740049235413117,-0.04276696039701999,-0.0077189359406241165,-0.14741916426290136
01/20/2022,-0.2227678448688577,-0.055198377991520164,-0.01867111761722373,-0.15093825108814696
01/21/2022,-0.33222225667262184,-0.08090427637662356,-0.03723277862132768,-0.18019336568629962
01/24/2022,-0.28947703068552,-0.0751497654539911,-0.034564239220420956,-0.1493942245862836
01/25/2022,-0.3235263568776232,-0.09623221218465883,-0.046315432794548195,-0.1903437229372974
01/26/2022,-0.34491335926832944,-0.09604369144212965,-0.0477427513052755,-0.20117591466260065
01/27/2022,-0.38210318234049745,-0.10868214288112243,-0.05286978885242122,-0.21069041824999524
01/28/2022,-0.33853706984038,-0.08079404519556654,-0.029809396914371122,-0.1735767311723404
01/31/2022,-0.2615916533141236,-0.049466943259363294,-0.011486424012899565,-0.12031527992922686
02/01/2022,-0.24811156759228303,-0.042383269840129634,-0.00470225182396522,-0.10986681444653223
02/02/2022,-0.3340051543638445,-0.03760760659032536,0.004675956582922636,-0.14256966061725318
02/03/2022,-0.39952366333691136,-0.07356852491058463,-0.01982917713532595,-0.1792284320456482
02/04/2022,-0.3446264113081696,-0.058937372718349756,-0.014774504946658662,-0.14096920500505072
02/07/2022,-0.35951372430406603,-0.06443361283119631,-0.01842152660976848,-0.13595120179700804
02/08/2022,-0.35249868655846917,-0.05249931113660211,-0.0101750824799407,-0.12131922884749013
02/09/2022,-0.3131106506817791,-0.03274635283742955,0.00419441161993106,-0.09936519531251142
02/10/2022,-0.33625960465706217,-0.05308762361977171,-0.013997298858775986,-0.10626148768777754
02/11/2022,-0.3638067263525059,-0.07942022961852524,-0.03270123208169062,-0.14195967893370287
02/14/2022,-0.3618076522606364,-0.07943593968040263,-0.03641623656310511,-0.1410022912872334
02/15/2022,-0.33217586632257456,-0.056150499003062904,-0.021223680040362125,-0.11570471894550793
02/16/2022,-0.439234332594567,-0.05719596776816804,-0.020361174755927358,-0.131827564745563
02/17/2022,-0.5019545458545953,-0.08438891151239203,-0.041103202942074146,-0.1835874046079572
02/18/2022,-0.5125252203997406,-0.09564676792855409,-0.047974812152035695,-0.20998250448810452
02/21/2022,-0.5124084548372637,-0.09564676792855409,-0.047974812152035695,-0.20998250448810452
02/22/2022,-0.5355229668002481,-0.10676414640552156,-0.05763115152311993,-0.22199531261084482
02/23/2022,-0.5358593900867541,-0.1297286063995231,-0.07498216252703682,-0.25914822227364376
02/24/2022,-0.5035134662860723,-0.10061844842344314,-0.06114680387224147,-0.20021197609810504
02/25/2022,-0.461143650486052,-0.08586376690648734,-0.040142143949342124,-0.19466840683373532
02/28/2022,-0.4442444756276298,-0.08207392633623689,-0.04248669605106403,-0.17372255129068226
03/01/2022,-0.4573435226368473,-0.09668852103587056,-0.05730278168376135,-0.17988116054239445
03/02/2022,-0.4659050945748493,-0.08203272816567042,-0.039728368022207805,-0.1774265149733878
03/03/2022,-0.48820534460436504,-0.09632256133719874,-0.044774275130527674,-0.2171628911058725
03/04/2022,-0.5177675979106977,-0.11130846106776138,-0.05235307667681599,-0.25263005883760925
03/07/2022,-0.5598510045092704,-0.14351447903837733,-0.0803258685847229,-0.28668177219912283
03/08/2022,-0.5865757245122437,-0.14587815888765465,-0.08697856456844533,-0.283507437800381
03/09/2022,-0.5312861265305884,-0.11517287554169564,-0.06351551339053096,-0.24216583798244662
03/10/2022,-0.5562137969519939,-0.1235557254473082,-0.06753473029473644,-0.26002136013891597
03/11/2022,-0.5670429982719829,-0.14265700951997162,-0.07962092096409479,-0.30548369470284065
