Date,Fintech,NASDAQ,SNP500,EMCLOUD
12/31/2021,0.0,0.0,0.0,0.0
01/03/2022,-0.011673834021822427,0.012005655271855709,0.006374052530970564,-0.010508839153740124
01/04/2022,-0.12079503829111549,-0.001422307113720267,0.00574041733048114,-0.051645823478884356
01/05/2022,-0.14535041189381037,-0.03482249250177116,-0.0137636629831136,-0.10678556073231082
01/06/2022,-0.15679650455022986,-0.03605666507495109,-0.014714167007388701,-0.10074591347861916
01/07/2022,-0.1803091951077459,-0.045322509667331534,-0.018704788181950538,-0.10732394220857555
01/10/2022,-0.18385210387955364,-0.04487976305284813,-0.020118865251046114,-0.09752131232150507
01/11/2022,-0.1670411769253991,-0.031417282286078096,-0.01114316907958579,-0.07492464710967117
01/12/2022,-0.1574804987839432,-0.02918369958396927,-0.008356813350739789,-0.08524372019975035
01/13/2022,-0.23727057945352592,-0.05357365117708934,-0.0224813974027821,-0.1348050014550357
01/14/2022,-0.20434786816328943,-0.048016566326164356,-0.021679851435340125,-0.1379602939192347
01/17/2022,-0.20507125227583567,-0.048016566326164356,-0.021679851435340125,-0.1379602939192347
01/18/2022,-0.23586954014977168,-0.07274377436339186,-0.039669149198500175,-0.16256752062207847
01/19/2022,-0.25776359194527676,-0.08339522298062796,-0.04897431518479878,-0.16459096069201762
01/20/2022,-0.2628541196192308,-0.09529900845481876,-0.059471145625760724,-0.16803916973061062
01/21/2022,-0.36666334601058004,-0.11991386009756289,-0.07726108136787746,-0.19670505823859952
01/24/2022,-0.3261227340012628,-0.114403590411006,-0.07470348997253085,-0.16652624140461492
01/25/2022,-0.35841594313645975,-0.13459122558979308,-0.08596611234941176,-0.20665097755117434
01/26/2022,-0.3786998963953708,-0.13441070631598995,-0.08733408823172961,-0.21726499853724535
01/27/2022,-0.41397162915726704,-0.14651273840622459,-0.09224796250682687,-0.22658787088936172
01/28/2022,-0.3726524684127557,-0.11980830750696769,-0.07014633643601165,-0.19022168909509785
01/31/2022,-0.29967556385205596,-0.08981083552584357,-0.052585165027393854,-0.13803297460600183
02/01/2022,-0.2868907226801699,-0.08302781757066757,-0.04608305364426313,-0.12779495124767226
02/02/2022,-0.3683542895459815,-0.07845484989497797,-0.03709475648174998,-0.1598391307048599
02/03/2022,-0.4304936370489648,-0.11288946315490511,-0.06058105730920482,-0.19575955928771627
02/04/2022,-0.3784277479705803,-0.0988793073852482,-0.05573653970843773,-0.15827090980497405
02/07/2022,-0.3925472377168743,-0.10414226816350347,-0.05923193168992502,-0.15335397399835216
02/08/2022,-0.38589400529366114,-0.09271449928060704,-0.05132834422875132,-0.13901670302935465
02/09/2022,-0.348537434041288,-0.07379992447153483,-0.037556280584935986,-0.1175048448035767
02/10/2022,-0.3704924650385899,-0.09327784175850251,-0.05499164697719139,-0.1242622392306133
02/11/2022,-0.39661882527740133,-0.11849280138822571,-0.07291793978508865,-0.15924143463794138
02/14/2022,-0.3947228547856133,-0.1185078446610427,-0.07647848811055513,-0.1583033296976739
02/15/2022,-0.36661934827425247,-0.09621071817583149,-0.06191758193743202,-0.13351527474619962
02/16/2022,-0.4681562016471895,-0.09721181365067777,-0.06109093643496666,-0.14931339095542684
02/17/2022,-0.5276415774335685,-0.12325059533284022,-0.08097058775017718,-0.20003073795841697
02/18/2022,-0.53766706228048,-0.13403062960154066,-0.08755650084616173,-0.22589421519016606
02/21/2022,-0.5375563189809628,-0.13403062960154066,-0.08755650084616173,-0.22589421519016606
02/22/2022,-0.5594786843360747,-0.14467614829795672,-0.09681136531533174,-0.2376650738261491
02/23/2022,-0.55979775636375,-0.16666591762403682,-0.11344098540979397,-0.2740696882250422
02/24/2022,-0.5291200954880753,-0.13879129487623632,-0.10018084983337494,-0.2163204746207289
02/25/2022,-0.4889355316312094,-0.12466285279127609,-0.08004948603835804,-0.2108885581626485
02/28/2022,-0.47290794316040263,-0.12103386608990385,-0.08229656032898625,-0.19036457225628278
03/01/2022,-0.48533139794931246,-0.13502816712389476,-0.09649664788026235,-0.19639914120598012
03/02/2022,-0.49345140101662877,-0.12099441651139642,-0.07965291338498792,-0.19399393455496206
03/03/2022,-0.5146015005489171,-0.13467774001354527,-0.0844890303250535,-0.23292998192895675
03/04/2022,-0.5426390606211186,-0.14902758661585658,-0.09175273331375222,-0.26768280685743295
03/07/2022,-0.5825519870250608,-0.17986667041187976,-0.11856251991955458,-0.30104868602540524
03/08/2022,-0.6078983614956297,-0.1821300275585268,-0.1249386213921595,-0.29793828576851633
03/09/2022,-0.5554603619725538,-0.15272798204794502,-0.10245107716447388,-0.25742934545496055
03/10/2022,-0.5791023709107046,-0.1607550349709278,-0.10630318988453902,-0.27492524025557763
03/11/2022,-0.5893730488389703,-0.17904559484908356,-0.11788688141555648,-0.31947191976182177
03/14/2022,-0.6110134791924825,-0.19582970515809484,-0.12443304504383046,-0.3533896683814677
03/15/2022,-0.5763421416055887,-0.17234609514714017,-0.10568840494708776,-0.33423300566897163
03/16/2022,-0.5232250031897331,-0.14115833200690375,-0.08567034762446224,-0.28005834930663076
03/17/2022,-0.4858960324835463,-0.12976626748936526,-0.07438037187675994,-0.24547713042673147
03/18/2022,-0.3982893528518977,-0.11192950260448364,-0.06358552287505037,-0.21161711196689337
03/21/2022,-0.4641785452096203,-0.11546910355202267,-0.0639925451307568,-0.22059193767645335
03/22/2022,-0.4294977111040156,-0.09818831555917595,-0.05341181052985933,-0.19357320722563842
