Date,Fintech,FAANG,NASDAQ,SNP500,EMCLOUD
01/17/2022,0.0,0.0,0.0,0.0,0.0
01/18/2022,-0.03639943605570295,-0.022771665432660182,-0.025974410018671956,-0.018387945694007257,-0.028545351831552712
01/19/2022,-0.0573083222941011,-0.03449421353577575,-0.037163101166511336,-0.027899316792671214,-0.03089262198125231
01/20/2022,-0.07261789634760296,-0.05284622781783899,-0.04966729509796708,-0.038628759967650694,-0.03489268023178238
01/21/2022,-0.17288176411934886,-0.09429255402382442,-0.07552368164006484,-0.05681292572179286,-0.03489268023178238
